     n      m             Cnm             Snm 
    33     15   -4.613358E-09   -3.473098E-09 
    33     16    6.756458E-09    5.606033E-09 
    33     17   -5.186440E-09    1.234751E-08 
    33     18   -1.024299E-08   -2.945381E-09 
    33     19    8.008820E-09    2.279476E-09 
    33     20   -3.546269E-09   -8.454155E-09 
    33     21    8.123275E-10    2.383547E-10 
    33     22   -9.405288E-09   -1.534400E-08 
    33     23   -3.442592E-10   -1.052306E-08 
    33     24    1.110584E-08   -9.149701E-09 
    33     25    5.083286E-09   -1.062315E-08 
    33     26    1.030655E-08    4.573403E-09 
    33     27   -9.862109E-10    1.068065E-09 
    33     28    1.527937E-09   -7.865197E-10 
    33     29   -1.643674E-08    5.518493E-09 
    33     30   -1.616802E-09   -1.842680E-08 
    33     31    4.252069E-09    8.540206E-10 
    33     32    6.251998E-09   -4.698239E-09 
    33     33   -1.684638E-09    8.351488E-09 
    34      0   -8.935312E-09   -8.935312E-09 
    34      1   -4.218043E-10    6.528875E-09 
    34      2    6.943353E-09    7.541884E-09 
    34      3    1.339430E-08    8.555327E-09 
    34      4   -8.084934E-09    3.294622E-10 
    34      5   -4.344606E-09    2.637270E-09 
    34      6   -7.341403E-10    6.671903E-09 
    34      7    2.126768E-09   -6.910744E-09 
    34      8   -7.515822E-09    6.166087E-09 
    34      9    2.278394E-11   -2.170778E-10 
