     n      m             Cnm             Snm 
    31     12    5.733247E-10    3.994756E-09 
    31     13    9.756753E-09    4.667099E-09 
    31     14   -8.055611E-09    3.232516E-09 
    31     15    4.158990E-09   -2.363391E-09 
    31     16   -6.881180E-09    6.142218E-09 
    31     17   -2.944797E-09    6.852579E-09 
    31     18   -5.298847E-10   -2.427074E-09 
    31     19    2.138598E-09    4.768905E-09 
    31     20   -2.448646E-09    5.732418E-09 
    31     21   -9.954279E-09    7.433237E-09 
    31     22   -9.889232E-09   -1.122984E-08 
    31     23    8.063643E-09    4.306652E-09 
    31     24   -2.893200E-09   -3.715628E-09 
    31     25   -1.664184E-08   -1.762378E-09 
    31     26   -1.285444E-08    1.782045E-09 
    31     27   -1.137369E-09    1.103351E-08 
    31     28    1.021183E-08    2.841880E-09 
    31     29   -2.021784E-09   -2.323203E-09 
    31     30   -8.266452E-10   -8.135414E-09 
    31     31   -8.822065E-09   -1.581868E-09 
    32      0   -2.402863E-09   -2.402863E-09 
    32      1   -7.632821E-11    3.575711E-09 
    32      2    1.150360E-08   -2.872861E-09 
    32      3   -4.209985E-10    3.738654E-09 
    32      4    1.973762E-09   -7.306254E-09 
    32      5    9.631751E-09    1.279552E-09 
    32      6   -1.118765E-08   -8.394618E-09 
    32      7    1.047562E-09    4.453766E-09 
    32      8    1.344067E-08    7.284452E-09 
    32      9    5.478134E-09   -1.484465E-09 
    32     10   -1.416479E-09   -4.991693E-09 
    32     11   -3.527700E-09    7.912632E-09 
    32     12   -1.708034E-08    1.374096E-08 
    32     13    4.138806E-09    4.776971E-09 
    32     14   -5.530185E-09    1.961391E-09 
    32     15    4.837927E-09   -8.419266E-09 
    32     16    3.737147E-09    3.872330E-09 
    32     17   -6.507264E-09    1.008666E-08 
    32     18    1.302484E-08   -1.765496E-09 
    32     19    7.024364E-10   -2.872689E-09 
    32     20    2.964366E-09   -1.342219E-10 
    32     21   -2.384102E-09    1.169640E-08 
    32     22   -1.228020E-08   -2.364701E-09 
    32     23    7.667226E-09   -2.505664E-09 
    32     24   -3.751091E-09    1.419943E-10 
    32     25   -1.933630E-08   -5.803355E-09 
    32     26    5.364349E-09   -3.831048E-09 
    32     27   -5.054436E-09   -6.698365E-09 
    32     28    1.577215E-09   -5.701506E-09 
    32     29    3.749028E-09    2.993956E-09 
    32     30   -6.920564E-09    1.335472E-09 
    32     31   -6.089727E-09   -2.936532E-10 
    32     32    3.476262E-09    1.267736E-09 
    33      0   -3.633088E-09   -3.633088E-09 
    33      1   -1.750465E-09   -3.888527E-09 
    33      2   -6.056603E-09    2.323389E-09 
    33      3   -3.889070E-10    6.159282E-09 
    33      4   -6.406095E-09    5.090067E-09 
    33      5   -3.243212E-10    4.278337E-09 
    33      6    5.146638E-10   -2.598500E-09 
    33      7   -3.737463E-09    7.391650E-10 
    33      8   -4.000481E-09    1.508391E-08 
    33      9    5.241729E-09    1.098659E-08 
    33     10   -1.605853E-09    1.145180E-09 
    33     11    2.050349E-09   -6.682137E-09 
    33     12   -1.001166E-09    9.692876E-09 
    33     13    2.059774E-09    2.974770E-09 
    33     14    4.882797E-09    5.647786E-09 
    33     15   -4.613512E-09   -3.473404E-09 
    33     16    6.757208E-09    5.605693E-09 
    33     17   -5.186721E-09    1.234749E-08 
    33     18   -1.024346E-08   -2.945803E-09 
    33     19    8.008123E-09    2.279687E-09 
    33     20   -3.545698E-09   -8.454311E-09 
    33     21    8.125828E-10    2.387068E-10 
    33     22   -9.405714E-09   -1.534369E-08 
    33     23   -3.437947E-10   -1.052323E-08 
    33     24    1.110464E-08   -9.149629E-09 
    33     25    5.082795E-09   -1.062300E-08 
    33     26    1.030711E-08    4.573351E-09 
    33     27   -9.868118E-10    1.068520E-09 
    33     28    1.528416E-09   -7.872439E-10 
    33     29   -1.643574E-08    5.517889E-09 
    33     30   -1.617463E-09   -1.842691E-08 
    33     31    4.252834E-09    8.531672E-10 
    33     32    6.252376E-09   -4.697291E-09 
    33     33   -1.684184E-09    8.351237E-09 
    34      0   -8.935381E-09   -8.935381E-09 
    34      1   -4.218699E-10    6.528574E-09 
    34      2    6.943272E-09    7.541792E-09 
    34      3    1.339401E-08    8.555481E-09 
    34      4   -8.085063E-09    3.292220E-10 
